site,codon_position,codon_site,gene
1,1;1,1;1,M2;M1
2,2;2,1;1,M2;M1
3,3;3,1;1,M2;M1
4,1;1,2;2,M2;M1
5,2;2,2;2,M2;M1
6,3;3,2;2,M2;M1
7,1;1,3;3,M2;M1
8,2;2,3;3,M2;M1
9,3;3,3;3,M2;M1
10,1;1,4;4,M2;M1
11,2;2,4;4,M2;M1
12,3;3,4;4,M2;M1
13,1;1,5;5,M2;M1
14,2;2,5;5,M2;M1
15,3;3,5;5,M2;M1
16,1;1,6;6,M2;M1
17,2;2,6;6,M2;M1
18,3;3,6;6,M2;M1
19,1;1,7;7,M2;M1
20,2;2,7;7,M2;M1
21,3;3,7;7,M2;M1
22,1;1,8;8,M2;M1
23,2;2,8;8,M2;M1
24,3;3,8;8,M2;M1
25,1;1,9;9,M2;M1
26,2;2,9;9,M2;M1
27,3,9,M1
28,1,10,M1
29,2,10,M1
30,3,10,M1
31,1,11,M1
32,2,11,M1
33,3,11,M1
34,1,12,M1
35,2,12,M1
36,3,12,M1
37,1,13,M1
38,2,13,M1
39,3,13,M1
40,1,14,M1
41,2,14,M1
42,3,14,M1
43,1,15,M1
44,2,15,M1
45,3,15,M1
46,1,16,M1
47,2,16,M1
48,3,16,M1
49,1,17,M1
50,2,17,M1
51,3,17,M1
52,1,18,M1
53,2,18,M1
54,3,18,M1
55,1,19,M1
56,2,19,M1
57,3,19,M1
58,1,20,M1
59,2,20,M1
60,3,20,M1
61,1,21,M1
62,2,21,M1
63,3,21,M1
64,1,22,M1
65,2,22,M1
66,3,22,M1
67,1,23,M1
68,2,23,M1
69,3,23,M1
70,1,24,M1
71,2,24,M1
72,3,24,M1
73,1,25,M1
74,2,25,M1
75,3,25,M1
76,1,26,M1
77,2,26,M1
78,3,26,M1
79,1,27,M1
80,2,27,M1
81,3,27,M1
82,1,28,M1
83,2,28,M1
84,3,28,M1
85,1,29,M1
86,2,29,M1
87,3,29,M1
88,1,30,M1
89,2,30,M1
90,3,30,M1
91,1,31,M1
92,2,31,M1
93,3,31,M1
94,1,32,M1
95,2,32,M1
96,3,32,M1
97,1,33,M1
98,2,33,M1
99,3,33,M1
100,1,34,M1
101,2,34,M1
102,3,34,M1
103,1,35,M1
104,2,35,M1
105,3,35,M1
106,1,36,M1
107,2,36,M1
108,3,36,M1
109,1,37,M1
110,2,37,M1
