site,codon_position,codon_site,gene
1,noncoding,noncoding,noncoding
2,noncoding,noncoding,noncoding
3,noncoding,noncoding,noncoding
4,noncoding,noncoding,noncoding
5,noncoding,noncoding,noncoding
6,noncoding,noncoding,noncoding
7,noncoding,noncoding,noncoding
8,noncoding,noncoding,noncoding
9,noncoding,noncoding,noncoding
10,noncoding,noncoding,noncoding
11,noncoding,noncoding,noncoding
12,noncoding,noncoding,noncoding
13,noncoding,noncoding,noncoding
14,noncoding,noncoding,noncoding
15,noncoding,noncoding,noncoding
16,noncoding,noncoding,noncoding
17,noncoding,noncoding,noncoding
18,noncoding,noncoding,noncoding
19,noncoding,noncoding,noncoding
20,noncoding,noncoding,noncoding
21,noncoding,noncoding,noncoding
22,noncoding,noncoding,noncoding
23,noncoding,noncoding,noncoding
24,noncoding,noncoding,noncoding
25,noncoding,noncoding,noncoding
26,noncoding,noncoding,noncoding
27,noncoding,noncoding,noncoding
28,noncoding,noncoding,noncoding
29,noncoding,noncoding,noncoding
30,1,1,HA
31,2,1,HA
32,3,1,HA
33,1,2,HA
34,2,2,HA
35,3,2,HA
36,1,3,HA
37,2,3,HA
38,3,3,HA
39,1,4,HA
40,2,4,HA
41,3,4,HA
42,1,5,HA
43,2,5,HA
44,3,5,HA
45,1,6,HA
46,2,6,HA
47,3,6,HA
48,1,7,HA
49,2,7,HA
50,3,7,HA
51,1,8,HA
52,2,8,HA
53,3,8,HA
54,1,9,HA
55,2,9,HA
56,3,9,HA
57,1,10,HA
58,2,10,HA
59,3,10,HA
60,1,11,HA
61,2,11,HA
62,3,11,HA
63,1,12,HA
64,2,12,HA
65,3,12,HA
66,1,13,HA
67,2,13,HA
68,3,13,HA
69,1,14,HA
70,2,14,HA
71,3,14,HA
72,1,15,HA
73,2,15,HA
74,3,15,HA
75,1,16,HA
76,2,16,HA
77,3,16,HA
78,1,17,HA
79,2,17,HA
80,3,17,HA
81,1,18,HA
82,2,18,HA
83,3,18,HA
84,1,19,HA
85,2,19,HA
86,3,19,HA
87,1,20,HA
88,2,20,HA
89,3,20,HA
90,1,21,HA
91,2,21,HA
92,3,21,HA
93,1,22,HA
94,2,22,HA
95,3,22,HA
96,1,23,HA
97,2,23,HA
98,3,23,HA
99,1,24,HA
100,2,24,HA
101,3,24,HA
102,1,25,HA
103,2,25,HA
104,3,25,HA
105,1,26,HA
106,2,26,HA
107,3,26,HA
108,1,27,HA
109,2,27,HA
110,3,27,HA
111,1,28,HA
112,2,28,HA
113,3,28,HA
114,1,29,HA
115,2,29,HA
116,3,29,HA
117,1,30,HA
118,2,30,HA
119,3,30,HA
120,1,31,HA
121,2,31,HA
122,3,31,HA
123,1,32,HA
124,2,32,HA
125,3,32,HA
126,1,33,HA
127,2,33,HA
128,3,33,HA
129,1,34,HA
130,2,34,HA
131,3,34,HA
132,1,35,HA
133,2,35,HA
134,3,35,HA
135,1,36,HA
136,2,36,HA
137,3,36,HA
138,1,37,HA
139,2,37,HA
140,3,37,HA
141,1,38,HA
142,2,38,HA
143,3,38,HA
144,1,39,HA
145,2,39,HA
146,3,39,HA
147,1,40,HA
148,2,40,HA
149,3,40,HA
150,1,41,HA
151,2,41,HA
152,3,41,HA
153,1,42,HA
154,2,42,HA
155,3,42,HA
156,1,43,HA
157,2,43,HA
158,3,43,HA
159,1,44,HA
160,2,44,HA
161,3,44,HA
162,1,45,HA
163,2,45,HA
164,3,45,HA
165,1,46,HA
166,2,46,HA
167,3,46,HA
168,1,47,HA
169,2,47,HA
170,3,47,HA
171,1,48,HA
172,2,48,HA
173,3,48,HA
174,1,49,HA
175,2,49,HA
176,3,49,HA
177,1,50,HA
178,2,50,HA
179,3,50,HA
180,1,51,HA
181,2,51,HA
182,3,51,HA
183,1,52,HA
184,2,52,HA
185,3,52,HA
186,1,53,HA
187,2,53,HA
188,3,53,HA
189,1,54,HA
190,2,54,HA
191,3,54,HA
192,1,55,HA
193,2,55,HA
194,3,55,HA
195,1,56,HA
196,2,56,HA
197,3,56,HA
198,1,57,HA
199,2,57,HA
200,3,57,HA
201,1,58,HA
202,2,58,HA
203,3,58,HA
204,1,59,HA
205,2,59,HA
206,3,59,HA
207,1,60,HA
208,2,60,HA
209,3,60,HA
210,1,61,HA
211,2,61,HA
212,3,61,HA
213,1,62,HA
214,2,62,HA
215,3,62,HA
216,1,63,HA
217,2,63,HA
218,3,63,HA
219,1,64,HA
220,2,64,HA
221,3,64,HA
222,1,65,HA
223,2,65,HA
224,3,65,HA
