site,codon_position,codon_site,gene
1,1,1,PA
2,2,1,PA
3,3,1,PA
4,1,2,PA
5,2,2,PA
6,3,2,PA
7,1,3,PA
8,2,3,PA
9,3,3,PA
10,1,4,PA
11,2,4,PA
12,3,4,PA
13,1,5,PA
14,2,5,PA
15,3,5,PA
16,1,6,PA
17,2,6,PA
18,3,6,PA
19,1,7,PA
20,2,7,PA
21,3,7,PA
22,1,8,PA
23,2,8,PA
24,3,8,PA
25,1,9,PA
26,2,9,PA
27,3,9,PA
28,1,10,PA
29,2,10,PA
30,3,10,PA
31,1,11,PA
32,2,11,PA
33,3,11,PA
34,1,12,PA
35,2,12,PA
36,3,12,PA
37,1,13,PA
38,2,13,PA
39,3,13,PA
40,1,14,PA
41,2,14,PA
42,3,14,PA
43,1,15,PA
44,2,15,PA
45,3,15,PA
46,1,16,PA
47,2,16,PA
48,3,16,PA
49,1,17,PA
50,2,17,PA
51,3,17,PA
52,1,18,PA
53,2,18,PA
54,3,18,PA
55,1,19,PA
56,2,19,PA
57,3,19,PA
58,1,20,PA
59,2,20,PA
60,3,20,PA
61,1,21,PA
62,2,21,PA
63,3,21,PA
64,1,22,PA
65,2,22,PA
66,3,22,PA
67,1,23,PA
68,2,23,PA
69,3,23,PA
70,1,24,PA
71,2,24,PA
72,3,24,PA
73,1,25,PA
74,2,25,PA
75,3,25,PA
76,1,26,PA
77,2,26,PA
78,3,26,PA
79,1,27,PA
80,2,27,PA
81,3,27,PA
82,1,28,PA
83,2,28,PA
84,3,28,PA
85,1,29,PA
86,2,29,PA
87,3,29,PA
88,1,30,PA
89,2,30,PA
90,3,30,PA
91,1,31,PA
92,2,31,PA
93,3,31,PA
94,1,32,PA
95,2,32,PA
96,3,32,PA
97,1,33,PA
98,2,33,PA
99,3,33,PA
100,1,34,PA
101,2,34,PA
102,3,34,PA
103,1,35,PA
104,2,35,PA
105,3,35,PA
106,1,36,PA
107,2,36,PA
108,3,36,PA
109,1,37,PA
110,2,37,PA
111,3,37,PA
112,1,38,PA
113,2,38,PA
114,3,38,PA
115,1,39,PA
116,2,39,PA
117,3,39,PA
118,1,40,PA
119,2,40,PA
120,3,40,PA
121,1,41,PA
122,2,41,PA
123,3,41,PA
124,1,42,PA
125,2,42,PA
126,3,42,PA
127,1,43,PA
128,2,43,PA
129,3,43,PA
130,1,44,PA
131,2,44,PA
132,3,44,PA
133,1,45,PA
134,2,45,PA
135,3,45,PA
136,1,46,PA
137,2,46,PA
138,3,46,PA
139,1,47,PA
140,2,47,PA
141,3,47,PA
142,1,48,PA
143,2,48,PA
144,3,48,PA
145,1,49,PA
146,2,49,PA
147,3,49,PA
148,1,50,PA
149,2,50,PA
150,3,50,PA
151,1,51,PA
152,2,51,PA
153,3,51,PA
154,1,52,PA
155,2,52,PA
156,3,52,PA
157,1,53,PA
158,2,53,PA
159,3,53,PA
160,1,54,PA
161,2,54,PA
162,3,54,PA
163,1,55,PA
164,2,55,PA
165,3,55,PA
166,1,56,PA
167,2,56,PA
168,3,56,PA
169,1,57,PA
170,2,57,PA
171,3,57,PA
172,1,58,PA
173,2,58,PA
174,3,58,PA
175,1,59,PA
176,2,59,PA
177,3,59,PA
178,1,60,PA
179,2,60,PA
180,3,60,PA
181,1,61,PA
182,2,61,PA
183,3,61,PA
184,1,62,PA
185,2,62,PA
186,3,62,PA
187,1,63,PA
188,2,63,PA
189,3,63,PA
190,1,64,PA
191,2,64,PA
192,3,64,PA
193,1,65,PA
194,2,65,PA
195,3,65,PA
196,1,66,PA
197,2,66,PA
198,3,66,PA
199,1,67,PA
200,2,67,PA
201,3,67,PA
202,1,68,PA
203,2,68,PA
204,3,68,PA
205,1,69,PA
206,2,69,PA
207,3,69,PA
208,1,70,PA
209,2,70,PA
210,3,70,PA
211,1,71,PA
212,2,71,PA
213,3,71,PA
214,1,72,PA
215,2,72,PA
216,3,72,PA
217,1,73,PA
218,2,73,PA
219,3,73,PA
220,1,74,PA
221,2,74,PA
222,3,74,PA
223,1,75,PA
224,2,75,PA
225,3,75,PA
226,1,76,PA
227,2,76,PA
228,3,76,PA
229,1,77,PA
230,2,77,PA
231,3,77,PA
232,1,78,PA
233,2,78,PA
234,3,78,PA
235,1,79,PA
236,2,79,PA
237,3,79,PA
238,1,80,PA
239,2,80,PA
240,3,80,PA
241,1,81,PA
242,2,81,PA
243,3,81,PA
244,1,82,PA
245,2,82,PA
246,3,82,PA
247,1,83,PA
248,2,83,PA
249,3,83,PA
250,1,84,PA
251,2,84,PA
252,3,84,PA
253,1,85,PA
254,2,85,PA
255,3,85,PA
256,1,86,PA
257,2,86,PA
258,3,86,PA
259,1,87,PA
260,2,87,PA
261,3,87,PA
262,1,88,PA
263,2,88,PA
264,3,88,PA
265,1,89,PA
