site,codon_position,codon_site,gene
1,1;1,1;1,NEP;NS1
2,2;2,1;1,NEP;NS1
3,3;3,1;1,NEP;NS1
4,1;1,2;2,NEP;NS1
5,2;2,2;2,NEP;NS1
6,3;3,2;2,NEP;NS1
7,1;1,3;3,NEP;NS1
8,2;2,3;3,NEP;NS1
9,3;3,3;3,NEP;NS1
10,1;1,4;4,NEP;NS1
11,2;2,4;4,NEP;NS1
12,3;3,4;4,NEP;NS1
13,1;1,5;5,NEP;NS1
14,2;2,5;5,NEP;NS1
15,3;3,5;5,NEP;NS1
16,1;1,6;6,NEP;NS1
17,2;2,6;6,NEP;NS1
18,3;3,6;6,NEP;NS1
19,1;1,7;7,NEP;NS1
20,2;2,7;7,NEP;NS1
21,3;3,7;7,NEP;NS1
22,1;1,8;8,NEP;NS1
23,2;2,8;8,NEP;NS1
24,3;3,8;8,NEP;NS1
25,1;1,9;9,NEP;NS1
26,2;2,9;9,NEP;NS1
27,3;3,9;9,NEP;NS1
28,1;1,10;10,NEP;NS1
29,2;2,10;10,NEP;NS1
30,3;3,10;10,NEP;NS1
31,1,11,NS1
32,2,11,NS1
33,3,11,NS1
34,1,12,NS1
35,2,12,NS1
36,3,12,NS1
37,1,13,NS1
38,2,13,NS1
39,3,13,NS1
40,1,14,NS1
41,2,14,NS1
42,3,14,NS1
43,1,15,NS1
44,2,15,NS1
45,3,15,NS1
46,1,16,NS1
47,2,16,NS1
48,3,16,NS1
49,1,17,NS1
50,2,17,NS1
51,3,17,NS1
52,1,18,NS1
53,2,18,NS1
54,3,18,NS1
55,1,19,NS1
56,2,19,NS1
57,3,19,NS1
58,1,20,NS1
59,2,20,NS1
60,3,20,NS1
61,1,21,NS1
62,2,21,NS1
63,3,21,NS1
64,1,22,NS1
65,2,22,NS1
66,3,22,NS1
67,1,23,NS1
68,2,23,NS1
69,3,23,NS1
70,1,24,NS1
71,2,24,NS1
72,3,24,NS1
73,1,25,NS1
74,2,25,NS1
75,3,25,NS1
76,1,26,NS1
77,2,26,NS1
78,3,26,NS1
79,1,27,NS1
80,2,27,NS1
81,3,27,NS1
82,1,28,NS1
83,2,28,NS1
84,3,28,NS1
85,1,29,NS1
86,2,29,NS1
87,3,29,NS1
88,1,30,NS1
89,2,30,NS1
90,3,30,NS1
91,1,31,NS1
92,2,31,NS1
93,3,31,NS1
94,1,32,NS1
95,2,32,NS1
96,3,32,NS1
97,1,33,NS1
98,2,33,NS1
99,3,33,NS1
100,1,34,NS1
101,2,34,NS1
102,3,34,NS1
103,1,35,NS1
104,2,35,NS1
105,3,35,NS1
106,1,36,NS1
107,2,36,NS1
108,3,36,NS1
109,1,37,NS1
110,2,37,NS1
111,3,37,NS1
112,1,38,NS1
113,2,38,NS1
114,3,38,NS1
115,1,39,NS1
116,2,39,NS1
117,3,39,NS1
118,1,40,NS1
119,2,40,NS1
120,3,40,NS1
121,1,41,NS1
122,2,41,NS1
123,3,41,NS1
124,1,42,NS1
125,2,42,NS1
126,3,42,NS1
127,1,43,NS1
128,2,43,NS1
129,3,43,NS1
130,1,44,NS1
131,2,44,NS1
132,3,44,NS1
133,1,45,NS1
134,2,45,NS1
135,3,45,NS1
136,1,46,NS1
137,2,46,NS1
138,3,46,NS1
139,1,47,NS1
140,2,47,NS1
141,3,47,NS1
142,1,48,NS1
143,2,48,NS1
144,3,48,NS1
145,1,49,NS1
146,2,49,NS1
147,3,49,NS1
148,1,50,NS1
149,2,50,NS1
150,3,50,NS1
151,1,51,NS1
152,2,51,NS1
153,3,51,NS1
154,1,52,NS1
155,2,52,NS1
156,3,52,NS1
157,1,53,NS1
158,2,53,NS1
159,3,53,NS1
160,1,54,NS1
161,2,54,NS1
162,3,54,NS1
163,1,55,NS1
164,2,55,NS1
165,3,55,NS1
166,1,56,NS1
167,2,56,NS1
168,3,56,NS1
169,1,57,NS1
170,2,57,NS1
171,3,57,NS1
172,1,58,NS1
173,2,58,NS1
174,3,58,NS1
175,1,59,NS1
176,2,59,NS1
177,3,59,NS1
178,1,60,NS1
179,2,60,NS1
180,3,60,NS1
181,1,61,NS1
182,2,61,NS1
183,3,61,NS1
184,1,62,NS1
185,2,62,NS1
186,3,62,NS1
187,1,63,NS1
188,2,63,NS1
189,3,63,NS1
190,1,64,NS1
191,2,64,NS1
192,3,64,NS1
193,1,65,NS1
194,2,65,NS1
195,3,65,NS1
196,1,66,NS1
197,2,66,NS1
198,3,66,NS1
199,1,67,NS1
200,2,67,NS1
201,3,67,NS1
202,1,68,NS1
203,2,68,NS1
204,3,68,NS1
205,1,69,NS1
206,2,69,NS1
207,3,69,NS1
208,1,70,NS1
209,2,70,NS1
210,3,70,NS1
211,1,71,NS1
212,2,71,NS1
213,3,71,NS1
214,1,72,NS1
215,2,72,NS1
216,3,72,NS1
217,1,73,NS1
218,2,73,NS1
219,3,73,NS1
220,1,74,NS1
221,2,74,NS1
222,3,74,NS1
223,1,75,NS1
224,2,75,NS1
225,3,75,NS1
226,1,76,NS1
227,2,76,NS1
228,3,76,NS1
229,1,77,NS1
230,2,77,NS1
231,3,77,NS1
232,1,78,NS1
233,2,78,NS1
234,3,78,NS1
235,1,79,NS1
236,2,79,NS1
237,3,79,NS1
238,1,80,NS1
239,2,80,NS1
240,3,80,NS1
241,1,81,NS1
242,2,81,NS1
243,3,81,NS1
244,1,82,NS1
245,2,82,NS1
246,3,82,NS1
247,1,83,NS1
248,2,83,NS1
249,3,83,NS1
250,1,84,NS1
251,2,84,NS1
252,3,84,NS1
253,1,85,NS1
254,2,85,NS1
255,3,85,NS1
256,1,86,NS1
257,2,86,NS1
258,3,86,NS1
259,1,87,NS1
260,2,87,NS1
261,3,87,NS1
262,1,88,NS1
263,2,88,NS1
264,3,88,NS1
265,1,89,NS1
266,2,89,NS1
267,3,89,NS1
268,1,90,NS1
269,2,90,NS1
270,3,90,NS1
271,1,91,NS1
272,2,91,NS1
273,3,91,NS1
274,1,92,NS1
275,2,92,NS1
276,3,92,NS1
277,1,93,NS1
278,2,93,NS1
279,3,93,NS1
280,1,94,NS1
281,2,94,NS1
282,3,94,NS1
283,1,95,NS1
284,2,95,NS1
285,3,95,NS1
286,1,96,NS1
287,2,96,NS1
288,3,96,NS1
289,1,97,NS1
290,2,97,NS1
291,3,97,NS1
292,1,98,NS1
293,2,98,NS1
294,3,98,NS1
295,1,99,NS1
296,2,99,NS1
297,3,99,NS1
298,1,100,NS1
299,2,100,NS1
300,3,100,NS1
301,1,101,NS1
302,2,101,NS1
303,3,101,NS1
304,1,102,NS1
305,2,102,NS1
306,3,102,NS1
307,1,103,NS1
308,2,103,NS1
309,3,103,NS1
310,1,104,NS1
311,2,104,NS1
312,3,104,NS1
313,1,105,NS1
314,2,105,NS1
315,3,105,NS1
316,1,106,NS1
317,2,106,NS1
318,3,106,NS1
319,1,107,NS1
320,2,107,NS1
321,3,107,NS1
322,1,108,NS1
323,2,108,NS1
324,3,108,NS1
325,1,109,NS1
326,2,109,NS1
327,3,109,NS1
328,1,110,NS1
329,2,110,NS1
330,3,110,NS1
331,1,111,NS1
332,2,111,NS1
333,3,111,NS1
334,1,112,NS1
335,2,112,NS1
336,3,112,NS1
337,1,113,NS1
338,2,113,NS1
339,3,113,NS1
340,1,114,NS1
341,2,114,NS1
342,3,114,NS1
343,1,115,NS1
344,2,115,NS1
345,3,115,NS1
346,1,116,NS1
347,2,116,NS1
348,3,116,NS1
349,1,117,NS1
350,2,117,NS1
351,3,117,NS1
352,1,118,NS1
353,2,118,NS1
354,3,118,NS1
355,1,119,NS1
356,2,119,NS1
357,3,119,NS1
358,1,120,NS1
359,2,120,NS1
360,3,120,NS1
361,1,121,NS1
362,2,121,NS1
363,3,121,NS1
364,1,122,NS1
365,2,122,NS1
366,3,122,NS1
367,1,123,NS1
368,2,123,NS1
369,3,123,NS1
370,1,124,NS1
371,2,124,NS1
372,3,124,NS1
373,1,125,NS1
374,2,125,NS1
375,3,125,NS1
376,1,126,NS1
377,2,126,NS1
378,3,126,NS1
379,1,127,NS1
380,2,127,NS1
381,3,127,NS1
382,1,128,NS1
383,2,128,NS1
384,3,128,NS1
385,1,129,NS1
386,2,129,NS1
387,3,129,NS1
388,1,130,NS1
389,2,130,NS1
390,3,130,NS1
391,1,131,NS1
392,2,131,NS1
393,3,131,NS1
394,1,132,NS1
395,2,132,NS1
396,3,132,NS1
397,1,133,NS1
398,2,133,NS1
399,3,133,NS1
400,1,134,NS1
401,2,134,NS1
402,3,134,NS1
403,1,135,NS1
404,2,135,NS1
405,3,135,NS1
406,1,136,NS1
407,2,136,NS1
408,3,136,NS1
409,1,137,NS1
410,2,137,NS1
411,3,137,NS1
412,1,138,NS1
413,2,138,NS1
414,3,138,NS1
415,1,139,NS1
416,2,139,NS1
417,3,139,NS1
418,1,140,NS1
419,2,140,NS1
420,3,140,NS1
421,1,141,NS1
422,2,141,NS1
423,3,141,NS1
424,1,142,NS1
425,2,142,NS1
426,3,142,NS1
427,1,143,NS1
428,2,143,NS1
429,3,143,NS1
430,1,144,NS1
431,2,144,NS1
432,3,144,NS1
433,1,145,NS1
434,2,145,NS1
435,3,145,NS1
436,1,146,NS1
437,2,146,NS1
438,3,146,NS1
439,1,147,NS1
440,2,147,NS1
441,3,147,NS1
442,1,148,NS1
443,2,148,NS1
444,3,148,NS1
445,1,149,NS1
446,2,149,NS1
447,3,149,NS1
448,1,150,NS1
449,2,150,NS1
450,3,150,NS1
451,1,151,NS1
452,2,151,NS1
453,3,151,NS1
454,1,152,NS1
455,2,152,NS1
456,3,152,NS1
457,1,153,NS1
458,2,153,NS1
459,3,153,NS1
460,1,154,NS1
461,2,154,NS1
462,3,154,NS1
463,1,155,NS1
464,2,155,NS1
465,3,155,NS1
466,1,156,NS1
467,2,156,NS1
468,3,156,NS1
469,1,157,NS1
470,2,157,NS1
471,3,157,NS1
472,1,158,NS1
473,2,158,NS1
474,3,158,NS1
475,1,159,NS1
476,2,159,NS1
477,3,159,NS1
478,1,160,NS1
479,2,160,NS1
480,3,160,NS1
481,1,161,NS1
482,2,161,NS1
483,3,161,NS1
484,1,162,NS1
485,2,162,NS1
486,3,162,NS1
487,1,163,NS1
488,2,163,NS1
489,3,163,NS1
490,1,164,NS1
491,2,164,NS1
492,3,164,NS1
493,1,165,NS1
494,2,165,NS1
495,3,165,NS1
496,1,166,NS1
497,2,166,NS1
498,3,166,NS1
499,1,167,NS1
500,2,167,NS1
501,3,167,NS1
502,1,168,NS1
503,1;2,11;168,NEP;NS1
504,2;3,11;168,NEP;NS1
505,3;1,11;169,NEP;NS1
506,1;2,12;169,NEP;NS1
507,2;3,12;169,NEP;NS1
508,3;1,12;170,NEP;NS1
509,1;2,13;170,NEP;NS1
510,2;3,13;170,NEP;NS1
511,3;1,13;171,NEP;NS1
512,1;2,14;171,NEP;NS1
513,2;3,14;171,NEP;NS1
514,3;1,14;172,NEP;NS1
515,1;2,15;172,NEP;NS1
516,2;3,15;172,NEP;NS1
517,3;1,15;173,NEP;NS1
518,1;2,16;173,NEP;NS1
519,2;3,16;173,NEP;NS1
520,3;1,16;174,NEP;NS1
521,1;2,17;174,NEP;NS1
522,2;3,17;174,NEP;NS1
523,3;1,17;175,NEP;NS1
524,1;2,18;175,NEP;NS1
525,2;3,18;175,NEP;NS1
526,3;1,18;176,NEP;NS1
527,1;2,19;176,NEP;NS1
528,2;3,19;176,NEP;NS1
529,3;1,19;177,NEP;NS1
530,1;2,20;177,NEP;NS1
531,2;3,20;177,NEP;NS1
532,3;1,20;178,NEP;NS1
533,1;2,21;178,NEP;NS1
534,2;3,21;178,NEP;NS1
535,3;1,21;179,NEP;NS1
536,1;2,22;179,NEP;NS1
537,2;3,22;179,NEP;NS1
538,3;1,22;180,NEP;NS1
539,1;2,23;180,NEP;NS1
540,2;3,23;180,NEP;NS1
541,3;1,23;181,NEP;NS1
542,1;2,24;181,NEP;NS1
543,2;3,24;181,NEP;NS1
544,3;1,24;182,NEP;NS1
545,1;2,25;182,NEP;NS1
546,2;3,25;182,NEP;NS1
547,3;1,25;183,NEP;NS1
548,1;2,26;183,NEP;NS1
549,2;3,26;183,NEP;NS1
550,3;1,26;184,NEP;NS1
551,1;2,27;184,NEP;NS1
552,2;3,27;184,NEP;NS1
553,3;1,27;185,NEP;NS1
554,1;2,28;185,NEP;NS1
555,2;3,28;185,NEP;NS1
556,3;1,28;186,NEP;NS1
557,1;2,29;186,NEP;NS1
558,2;3,29;186,NEP;NS1
559,3;1,29;187,NEP;NS1
560,1;2,30;187,NEP;NS1
561,2;3,30;187,NEP;NS1
562,3;1,30;188,NEP;NS1
563,1;2,31;188,NEP;NS1
564,2;3,31;188,NEP;NS1
565,3;1,31;189,NEP;NS1
566,1;2,32;189,NEP;NS1
567,2;3,32;189,NEP;NS1
568,3;1,32;190,NEP;NS1
569,1;2,33;190,NEP;NS1
570,2;3,33;190,NEP;NS1
571,3;1,33;191,NEP;NS1
572,1;2,34;191,NEP;NS1
573,2;3,34;191,NEP;NS1
574,3;1,34;192,NEP;NS1
575,1;2,35;192,NEP;NS1
576,2;3,35;192,NEP;NS1
577,3;1,35;193,NEP;NS1
578,1;2,36;193,NEP;NS1
579,2;3,36;193,NEP;NS1
580,3;1,36;194,NEP;NS1
581,1;2,37;194,NEP;NS1
582,2;3,37;194,NEP;NS1
583,3;1,37;195,NEP;NS1
584,1;2,38;195,NEP;NS1
585,2;3,38;195,NEP;NS1
586,3;1,38;196,NEP;NS1
587,1;2,39;196,NEP;NS1
588,2;3,39;196,NEP;NS1
589,3;1,39;197,NEP;NS1
590,1;2,40;197,NEP;NS1
591,2;3,40;197,NEP;NS1
592,3;1,40;198,NEP;NS1
593,1;2,41;198,NEP;NS1
594,2;3,41;198,NEP;NS1
595,3;1,41;199,NEP;NS1
596,1;2,42;199,NEP;NS1
597,2;3,42;199,NEP;NS1
598,3;1,42;200,NEP;NS1
599,1;2,43;200,NEP;NS1
600,2;3,43;200,NEP;NS1
601,3;1,43;201,NEP;NS1
